npi,communityId
1598213670,567
1598219339,567
1598710204,2293
1598715377,2289
1598718330,1295
1598719536,1186
1598719635,2307
1598723645,235
1598728263,1186
1598731325,6984
1598735532,1186
1598736266,2186
1598736845,7151
1598738205,713
1598743023,2293
1598743031,235
1598745440,2186
1598749152,1186
1598750523,713
1598750697,2293
1598751810,567
1598753758,1186
1598758716,1186
1598764078,713
1598773889,567
1598779837,169
1598784183,1186
1598790636,6659
1598791790,713
1598792343,2186
1598812232,713
1598812455,1186
1598833808,713
1598846164,2186
1598852600,2293
1598852618,713
1598860157,7152
1598862591,1186
1598863011,713
1598868291,713
1598871642,1186
1598887473,2186
1598895732,567
1598898371,2293
1598901241,2293
1598908022,2293
1598917452,2307
1598926248,1186
1598937179,7356
1598938060,713
1598973273,2186
1609011006,713
1609014489,2293
1609016393,2307
1609047760,1186
1609052554,713
1609058130,7311
1609073626,1295
1609079003,713
1609083963,713
1609088731,713
1609107838,713
1609108034,2289
1609127950,5553
1609138916,713
1609142967,2293
1609148634,1474
1609178102,169
1609188622,713
1609189216,2307
1609205533,2767
1609218726,2293
1609231679,567
1609233022,1186
1609252659,6747
1609262823,2293
1609262898,2307
1609283571,1186
1609295351,1186
1609302884,2293
1609315373,1186
1609318682,567
1609326040,2307
1609326636,1186
1609327659,2293
1609800333,713
1609801919,1186
1609804236,275
1609806256,6904
1609810274,1295
1609824838,713
1609831916,2293
1609836071,1186
1609838499,2293
1609840131,235
1609844489,2186
1609844778,2293
1609845510,235
1609848563,235
1609848738,1186
1609849595,2186
1609860634,713
1609862804,1465
1609862945,2293
1609867233,1186
1609867365,1186
1609873264,2293
1609873645,2293
1609878586,2186
1609879527,275
1609879956,2307
1609891589,6985
1609898808,1186
1609899673,2186
1609923564,713
1609931799,2293
1609935329,1186
1609950716,713
1609952654,1465
1609963727,713
1609968015,713
1609968957,235
1609969955,1186
1609970797,1186
1609979319,1295
1609981661,713
1619004066,713
1619026614,567
1619062643,713
1619063542,235
1619064714,713
1619064722,713
1619064730,713
1619064748,713
1619064755,713
1619065869,1476
1619069044,713
1619070067,567
1619071214,1186
1619075207,2186
1619080603,713
1619088119,6924
1619143088,6905
1619144342,567
1619151255,1186
1619160884,713
1619171105,713
1619171279,2293
1619171709,2186
1619192622,1901
1619199486,713
1619217106,1476
1619218104,713
1619240413,2186
1619253408,713
1619254141,1186
1619266814,1476
1619269008,1186
1619271160,2289
1619287836,1186
1619291242,2293
1619295060,713
1619295607,2293
1619309051,6923
1619310786,713
1619314226,1186
1619332400,2293
1619335866,567
1619343498,1186
1619346178,1186
1619364528,1186
1619385952,1295
1619386869,1186
1619392032,1186
1619392826,713
1619393311,2186
1619397957,567
1619399540,1186
1619427440,275
1619904596,1186
1619906856,2186
1619914355,713
1619916970,1186
1619917739,2293
1619918174,713
1619921004,1474
1619926359,567
1619927258,6902
1619928744,2293
1619929247,1186
1619930153,713
1619936309,2293
1619945292,2289
1619956539,2186
1619959699,235
1619959954,713
1619964111,713
1619965431,1465
1619969482,2293
1619976602,235
1619978822,2293
1629005632,713
1629025648,1186
1629025689,1474
1629025812,1295
1629028006,1474
1629033758,2307
1629035654,6747
1629040522,2289
1629046164,713
1629050372,1186
1629052378,1186
1629060330,2293
1629063854,2293
1629068556,713
1629072525,1303
1629073218,713
1629078621,2186
1629078670,2186
1629080973,713
1629082888,713
